product,review
Apple MacBook AIR Apple M2,Design and build quality is excellent🤩... Performance is good enough for most users🙃... Handles day to day tasks with ease😉... Battery life is mind benging😅... Overall bang for the buck😎
Apple MacBook AIR Apple M2,Nice Experience with mac
Apple MacBook AIR Apple M2,"Just as expected,Awesome!"
Apple MacBook AIR Apple M2,"I'm reviewing after 2 months, honestly I assure that I have used many laptops but this is the most experience ever. Literally M2's have crucial or beast performance no doubt. It's feel like butter on a hot pan, and I suggest if you purchase M2 you should be go for the starlight colour seriously colour is very unique."
Apple MacBook AIR Apple M2,EXPENSIVE BUT AMAZING! 🤯
Apple MacBook AIR Apple M2,Awesome ✨❤️
Apple MacBook AIR Apple M2,Expected better. Has hinge problem
Apple MacBook AIR Apple M2,"2 weeks review, product is very optimal in performance, price a bit high but overall product satisfaction is always there when ever u purchase an apple product, would take time to get used to its apps those who r used to working on windows like I am. Good buy 👍"
Apple MacBook AIR Apple M2,"Amazing Display, battery and performance is super efficient, best product at a best price with the credit card discount.

Lastly the new Starlight colour just looks 😍 fantastic..."
Apple MacBook AIR Apple M2,Well I am a software developer. The laptop heats up really quickly. And once it does the device starts to lag
Apple MacBook AIR Apple M2,"Awesome battery backup, performance wise no complaints , slick design and loved the midnight colour.... Although it's a fingerprint magnet

Delivery experience was very good"
Apple MacBook AIR Apple M2,"Best machine
Super slim
Superb battery backup
Superb performance
Superb display
Premium design
Nice packaging
100% genuine
Far better than windows laptp"
Apple MacBook AIR Apple M2,Blindly go for Macbook if your budget allows. No other laptop can provide this quality and premiumness
Apple MacBook AIR Apple M2,Prefect product and perfect price. I bought this mac for 78k in big billion days. I have been using this for 3 days now. It is working properly and had no starches. It's perfectly original and the packaging was also good. Really satisfied.
Apple MacBook AIR Apple M2,Most powerful laptop out there.
Apple MacBook AIR Apple M2,I ordered Macbook Air - 8GB RAM and 512GB Storage. I am happy with this product. It's expensive but it is valuable product and worth to have it. I am also happy with Flipkart services. I received it within 3 days. I recommended to buy this kind of expensive product from Flipkart as well.
Apple MacBook AIR Apple M2,"The deep midnight color is striking and adds a touch of elegance. The viewing experience is truly remarkable, providing vivid and immersive visuals. It's suitable for standard video and photo editing tasks. However, for users engaging in intensive video editing, it is advisable to choose the 512GB storage option due to the slower SSD speed of the 256GB model. Overall, considering the features and performance at this price point, it's a compelling deal."
Apple MacBook AIR Apple M2,"First time i have purchased a apple macbook and i am fully satisfied with the product, the design and looks of this are insane and just loves the product very much and the midnight colour is awesome, definitely value for money."
Apple MacBook AIR Apple M2,Just moved from my old macbook air to M2 air. Overall the laptop is fast and capable of doing all the tasks required. Battery backup is very good. Overall happy with the purchase.
Apple MacBook AIR Apple M2,"The product is osm, you can go with this without any hesitation
I am writing the review almost purchasing after 2 months.
Display and design 10/10
Speaker and camera 10/10
Performance and build quality 10/10
Battery backup 10/10 unbelievable

I am very happy to purchase this and using this very smoothly no lagging any type i am work this MacBook almost 15 hours per day office purpose very very nice choice and i am running the coding apps on the mac till now no lagging seen. It is working ve...
READ MORE"
Apple MacBook AIR Apple M2,"It's my first macbook. It was totally a different feeling to own it. Right from its aesthetic finish look to its performance... All r just amazing. Silver macbook has different royalty and classic touch. The sleek design and light weight makes it to carry wherever and whenever. The M2 chip does the work. The transfers and downloads were way faster. The battery life is fine... Camera is great... Overall, if u really want to shift from windows to MacOS then just go for it. Apart from the cost,...
READ MORE"
Apple MacBook AIR Apple M2,"So beautiful,so elegant,just looking like a wow, starlight colour wow😍"
Apple MacBook AIR Apple M2,"The MacBook Air M2 truly sets a new standard in performance and portability. Powered by the impressive M2 chip, it effortlessly handles demanding tasks while maintaining remarkable speed and efficiency. The sleek design, lightweight build, and vibrant Retina display make it a joy to use on the go. With its exceptional battery life and immersive audio, the MacBook Air M2 offers an unparalleled experience for both work and entertainment. It's a remarkable laptop that perfectly balances power an...
READ MORE"
Apple MacBook AIR Apple M2,Just a hype.
Apple MacBook AIR Apple M2,"It's a excellent choice, specially if you are buying it for work, free lancing and to learn new skills, It is great in both performance and battery in this price. Absolutely buy it. Giving it a 4 star as the piece I got has a little tight hinge and it won't open single handedly, which doesn't give a good Impression, and I can't even return it now and have to go apple service centre, But be real everybody doesn't have time to waste a whole day for this problem."
Apple MacBook AIR Apple M2,Very good battery 🔋 and performance
Apple MacBook AIR Apple M2,Good
Apple MacBook AIR Apple M2,"Happy with the delivery; got it early in the same day, although expected was 3 days from the order.

Thought to buy asus oled additionally but it very much matches that quality and punchiness in colors!"
Apple MacBook AIR Apple M2,"Review after 1 week
Performance 10/10
Display 10/10
Easier to use
Light weight like we hold a book in hand 👌
Happy with the product and installation speed as well as top notch on transferring data.
My first Macbook after Windows..."
Apple MacBook AIR Apple M2,"Shifted from Windows to MacOS after using Windows till date. Takes a little time to get used to the new OS. But oh Boy!
-Its fast, smooth, light weight, super portable and a delight to work with.
- Display is amazing
- Speakers are loud
- No heating issues
- The biggest Highlight is the battery backup - runs well for a good 15-18 hrs on normal work usage
- Keyboard is fantastic, crisp, firm

The only negatives:
- the midnight color is a fingerprint magnet
- port selection is super limited"
Apple MacBook AIR Apple M2,Excellent 👌😉
Apple MacBook AIR Apple M2,"Best laptop in this price (73K in big billion day Sale)

Pros:
Thinner and lighter
Liquid retina display
Good 1080p webcam
Fastest M2 chip
Long battery life (lasts more than a day)
No fan noise
Smooth Mac OS
Loud and clear audio quality

Features missing in this price range:
Touch screen
Oled display
Atleast 512 gb storage
Refresh rate (atleast 90hz)
Fast charging
Tablet mode"
Apple MacBook AIR Apple M2,"If you need a laptop for parsonal uses , editing, coding, and much more at the best price range,
Not for gaming, if you play smaller game like 200mb the machine gonna too hot 🔥 if you are not a gamer then go for it..."
Apple MacBook AIR Apple M2,"Very good performance and battery life. Coming from windows some things I like while somethings I hate.
But from the machine perspective value for money. Not for gamers."
Apple MacBook AIR Apple M2,"Best in class
Display is just awesome crisp images
Sound quality very good
Fast charging also MagSafe
M2 chip best
Starlight colour loved it
Expensive but apple is apple"
Apple MacBook AIR Apple M2,"The Item is outstanding, But the delivery was delayed due to Ekart Logistics."
Apple MacBook AIR Apple M2,"Performance of Mac is much superior as compared to any windows machine. If you are concerned w.r.t productivity and efficiency of your efforts on laptop, choose Macbook.

For my needs, M2 gives most value for money.

CAUTION - Beware of the fact that if you are switching from windows ecosystem, you will need to put spend substantial efforts in first 2-3 weeks to learn Mac commands and shortcuts."
Apple MacBook AIR Apple M2,Best laptop in 67k
Apple MacBook AIR Apple M2,You can go for it without even thinking twice. Definitely worth the price.
Apple MacBook AIR Apple M2,"No need to tell it's apple
Good as al"
Apple MacBook AIR Apple M2,The macbook is brilliant
Apple MacBook AIR Apple M2,Great...
Apple MacBook AIR Apple M2,"The best product and building quality is superb, no matter for the usage if u r a windows user and planning to buy mac."
Apple MacBook AIR Apple M2,"This laptop is great and best for Students and programmers.

A lot of people will tell you that you can't install cracked apps but there are lots of options.

The battery is best no laptop comes close to it in terms of battery.

The keyboard and trackpad are the best that I have ever uses in any laptop especially the keyboard that is spot on the backlit is the best among all the laptops.

Coming to performance M2 chip will handle anything you throw at it but to mention M2 chip has slower SSD ...
READ MORE"
Apple MacBook AIR Apple M2,"This MacBook is a fine wine ..
Go for it without any second thought.. 💗♾️🍷"
Apple MacBook AIR Apple M2,"Used for 2 months
Pros:
1.Performance is really good but 8gb ram will not be enough if you're doing video editing
2.Battery life is absolutely amazing
3. This was my first MacOs experience and I can say that Windows is better. There are some things that MacOS does better but it's not enough
4. I've played some games only a few. Not for gaming
5. Display , build, keyboard, touchpad , webcam and speakers are all very good
Cons:
1. It's very expensive just for an additional 256gb or 8gb ram
...
READ MORE"
Apple MacBook AIR Apple M2,Just phenomenal. My words can't describe this machine.
Apple MacBook AIR Apple M2,Loved it❤️
Apple MacBook AIR Apple M2,"Been waiting to buy a macbook since M1 lunch, but finally bought Air M2 because of BBD in Flipkart. I got it at an unbelievable price. But I was a little disappointed with the delivery as it got delivered after 4 days after it came out for delivery.

I think I don't need to talk anything about Macbook Air M2 performance, it's literally awesome and no window laptop can beat it's battery."
Apple MacBook AIR Apple M2,Totally Satisfied with this powerful machine. ✨
Apple MacBook AIR Apple M2,"Just one word
Awesome 😊"
Apple MacBook AIR Apple M2,"I bought this Mac bcz I wanted to buy a MAC! Using it for last 1 week, initial impression is great. Will update the review in future I get spare time."
Apple MacBook AIR Apple M2,I have used it for almost a year and my experience was great.
Apple MacBook AIR Apple M2,"Got it in BBD, it's an amazing machine working so good, got a good deal... thanks Flipkart 😎"
Apple MacBook AIR Apple M2,There is no need to review this product as when it comes to apple it gives you the best and premium feel. Though the MacBook is good the only disadvantage is the storage issue as it doesn't provide greater storage capacity.
Apple MacBook AIR Apple M2,Great laptop value for money.
Apple MacBook AIR Apple M2,"Apple Macbook Air M2 is my first laptop and I don't even need to elaborate on the quality and user friendliness of Apple devices. They always set the bar high when it comes to attention to detail like multiple device integration in the Apple ecosystem. No other company till now has been able to accomplish this feat so efficiently. Everything is so seamless that we are in awe of Apple products. No doubt these are premium and costly devices but we get our money's worth over a long duration of t...
READ MORE"
Apple MacBook AIR Apple M2,"Its a light weight powerful machine which is smooth and has zero lags.
The keypad quality is good.
Midnight black color looks very elegant."
Apple MacBook AIR Apple M2,Nice
Apple MacBook AIR Apple M2,I bought the product during BBD 2023 at a good offer price. I am a first time mac user and got fascinated with the design and build quality of the Macbook. I feel like and excellent purchase.
Apple MacBook AIR Apple M2,"Good product ,battery backup also good"
Apple MacBook AIR Apple M2,"Overall a product that never disappoints. The only thing that u don't like in this black colour is a fingerprint magnet every time you touch it, it gets full of fingerprints."
Apple MacBook AIR Apple M2,Premium And good performance
Apple MacBook AIR Apple M2,The hinge is too tight and it will open 10mm automatically after close
Apple MacBook AIR Apple M2,"Almost good performance, design but touch pad and battery back up not good."
Apple MacBook AIR Apple M2,"Changing the feedback after almost a month. In the start battery didn't even lasted for more than 30 mins. When I complained to HP customer support, they sent their engineer and a new battery was installed without any problem. Now it's working great. Great laptop and also great experience provided by customer service of HP."
Apple MacBook AIR Apple M1,"UPDATE 3/8/2023: i bought parallels desktop and a windows 11 license. I need it to try a certain amount of things in IT, however, the performance when running windows in a virtualized environment (like parallels is) it gets seriously affected on the M1, something that didn't happen with intel processors. You notice the performance degrading (but not that much, maybe 10, or even 15% i risk to say) when switching between full screens and main desktop with windows (full separate screen, remember that there's an option to seamlessly integrate within your macOS). You kinda feel the stutter but i can see the M1 processor get in the way and prioritize the screen, and that's a good thing to re-prioritize tasks that are being done in one screen or another (take the word ""screen"" as full-screen apps or software that switches between desktop and full-screen apps or between apps). In my case, running windows 11 makes the mbp m1 run hotter than i'm really use to, but it does not affect battery performance as much as i expected!... weird, isn't it?... love it!If you're going to virtualize something, that isn't Windows, you shouldn't worry that much on this laptop. Just remember that's still have 8gb ram and usable 228gb, therefore, performance wouldn't be the same as bare metal.Still, other regular software from apple or safari (or any other browser), Office365, Adobe XD, Photoshop do not affect performance nor consume that much battery, although if you are a graphic designer or a photographer making a quick change could make you brighten your screen, in which may lead to higher power consumption, which also could be confused by software running.One bad thing that i found with heavy usage is that the keyboard gets ""oily"", meaning, it wears in time and amount of usage per day; funny enough, the aluminum part of the palm rest don't have any signs of wear.Another thing that i found is that the left speaker sounds like it broke when hearing at 70% volume, i don't know if that's fixable or not, anywho anyhow... i'm gonna stick with that because i rarely use it.One thing that i've also found is how i got used to the fact that this mbp m1 takes nothing to return from suspended state, why? Because no matter what other laptop i use (or desktop, for that matter), all of them takes a few seconds to access to their respective desktops and another few seconds to actually be productive (after booting software)... This one literally takes nothing to wake and start using it... that's why i'm not changing this laptop... and yes, even with its flaws... why? because in critical cases when i need to go somewhere and fast react to do something at work, i just do it! it takes me 0 seconds to wake up the mbp and enter another desktop via anydesk or teamviewer or ssh... this takes time on most windows laptops... i love it!I just wish this laptop was upgradeable... after all at the end of the day, it makes my life so useful and convenient despite the down side of it... what a masterpiece! i just wish i could do more and more with it, i feel limited... but happy!and by the way, i still stand on my original review.ORIGINAL: I believe i've found my unicorn because this particular macbook air still lasts an insane amount of time! Although i don't use it on full brightness, i regulate it a lot. Connecting several devices to it via bluetooth is transparent, but unfortunately, Apple made the macOS more inconvenient to handle in terms of simplicity.User experience on the macOS is weird, you know as a mac user where things used to be, then you have to relearn some things and it doesn't feel like home, the new normal isn't good so far.Keyboard is relatively quiet, also, there's the missing keyboard light on this iteration of the macbook air, why did you take (probably) the most useful key from us?! if you're watching a movie you have to literally stop the movie, go through the menu from above and turn off the keyboard lights, or if you're on a presentation and everything is dark, you just turn your screen light down but you can't with your keyboard because you need to actually stop paying attention to the presentation and go through the menu, inconvenient as heck!I know (and i'm very well aware) that there are some workarounds to change to the keyboard light again using a small software... but that isn't the end-game, the thing is that we shouldn't need an extra software or aditional configuration just to use something the macbook had for, literally, over 10 years!Speed on this macbook: you don't even feel it... everything is instant, nothing is slow, if something is, it's most likely the software or the website you're on, is that simple! If you're planning on using massive storage, you should use an usb-c one, not an usb-a through usb-c dongle, you will have a bottleneck, that's guaranteed.I haven't used it on games because that's why i have my pc and xbox for. However, if you're planning on developing software on it, just make sure your libraries fit within 228gb (the half of it is recommended for all ssd's) of storage, if that's gonna be an issue, then go for usb-c massive storage.Weight isn't a problem, it makes you feel like you're having a premium laptop on your hands, but not enough to make your bag heavier. Construction feels like you own something premium and well-made."
Apple MacBook AIR Apple M1,"Updated review with more detail [after 2 weeks]. ** See additional note re color.I switched to Mac 11 years ago, and for that entire period, I had the same laptop, a Macbook Pro, late-2011 model. After the initial adjustment, it has been a great laptop for all of these years. I used it for school, work, online browsing, a few applications, and streaming videos. I have never gamed on my 2011 laptop. Of course, it slowed down considerably after several years, and software and hardware updates can only help so much with an older model. So, I finally decided to purchase a new laptop, and based on my research on recent macbook models, the price and value was right on this 2020 Macbook Air.GENERAL FEATURES: Switching from a Pro to an Air model is weird at first because the Air is SO thin and lightweight. It has an extremely slim profile. I have to be extra careful when I grab the laptop to move to another room. Like other reviewers have said, the screen extends almost to the edge with minimal bezel, which also means very minimal border, so you are getting a ""larger"" screen. I did not mind the thick bezel black border on my pro and have been used to it for so long, but I took for granted that it actually provided a lot of protection for my screen. The macbook air has almost no bezel, which in my opinion, is not ideal. Let's hope it doesn't drop or get off balance because there is basically no protection for the screen. My older macbook pro has fallen a few times on it's corner or edge in 11 years and been fine, aside from minor cosmetic damage. But the larger edge and bezel came in really handy on the macbook pro when it lost balance and fell off the counter several years ago, but I quickly saved it by grabbing it by the screen and significantly reducing the impact when it landed [luckily not on hard floor]. Obviously not an ideal way to grab it, but it was a necessary save in that moment. The only damage was cracks through the top of my screen from the pressure of my palm, and some minor dent in the bottom of the laptop. Cosmetic damage, but thankfully did not effect the screen light, LCD, or anything else. I do not think the macbook air would survive this, especially how the screen is built.BATTERY: Upon opening the box, the battery life was already pretty high, and I decided not to charge it until the battery decreased to around 10-15%. I was still using my original macbook during the day for work, and the new macbook air during the evening for mostly online use and going through all of the system preferences and settings, and watching youtube in the background. Keeping that limited use in mind, I did not need to charge it for maybe 1 week. Great battery life thus far. I will likely be shifting to use this macbook air for work soon, in order to take advantage of the current OS, higher ram, and M1 chip, especially because I connect to virtual servers, which can take a toll on the ram and processor.SPEED/PORTS/BLUETOOTH: Compared to an older model pro, it has good speeds so far. I already knew that the number of ports have been reduced significantly, and that air has less ports than a pro anyway, so I purchased a thunderbolt adapter and a USB hub in advance to take care of that issue. So far, the thunderbolt adapter works fine to connect the macbook air to my Thunderbolt Display monitor. The bluetooth was able to connect to my ear buds, although pairing did take a bit longer than I expected. The bluetooth preferences do seem to be less detailed/less options than my previous macbook pro.CHARGER:  ** In my opinion, the previous magnetic chargers were superior to the current ones. They attached via magnet, the indicator light was red while charging, and green when fully charged. Easy and convenient. The mag-safe charger on this computer requires an additional push to be plugged in fully. This is just like most electronic devices, so it is not a bad feature, just requires an adjustment. It is probably safer for the computer and prevents it from easily coming unplugged. However, there is no indicator light, so you can't tell that it is plugged in and successfully charging unless you look at the battery status in the menu bar, and you also cannot see when it is finished charging just at a glance. You cannot confirm when the laptop is closed or on lock screen. You have to open the laptop, log in, and then check. Big bummer. **MISCELLANEOUS FEATURES: My previous macbook had a great feature: check the battery life at a glance with a quick push of a button while the laptop is still closed. After some additional research, I realized that apple removed the battery light indicator on the macbook pros many years ago, and that airs never had this feature. Big bummer. There is no way to check the battery life on this model without opening the laptop AND logging in, as the battery status in the menu bar on lock screen only shows the icon, but won't show you the percentage until you log in. Not ideal at all.-------Quick review for recently purchased product [during Black Friday]. I will update with a more detailed review once I have used it for a longer period.***** Important Note: If you are on the fence about purchasing the ""gold,"" don't get it. I had a silver MacBook Pro for many years, and I went back and forth for several days about the gold, especially after reading recent reviews and viewing customer images on multiple retailers that said the gold is closer to rose gold. I would disagree and say that the color is actually better described as dark blush pink or dark a reddish-mauve. Definitely not the look I wanted to have, and I regret not purchasing the staple silver, especially as I keep my electronics for many years beyond the 'normal time.' It would be a hassle and a lot of money to purchase the silver instead, since we cannot exchange in-store."
Apple MacBook AIR Apple M1,"Why is it that the PC world cannot make a good notebook for the same price? The MacBook Air is the bar that every PC model should be at. I bought a PC notebook that has seen more time at the repair depot than in my use. I finally decided to buy a MacBook Air because I was so impressed with a Mac mini I bought. I like everything about the Air from the keyboard, touchpad, beautiful screen quality and study chassis. I was skeptical of the finless design having had Intel MacBook Airs that ran very warm. So far this Apple silicon MacBook has stayed cool to touch. Honestly, I think a M1 MacBook is all many really need for general use cases. I highly recommend a MacBook Air over any PC notebook."
Apple MacBook AIR Apple M1,"As a programmer, I can say that this is just the perfect device for work. The battery lasts more than 10 hours, even when watching movies and TV shows.The only exception is when I edit 4k material for video in Davinci Resolve. There, the battery lasts for 3-4 hours. Just like in games. Although I don't play games on this laptop. I ran Froetnite once for a test, I liked it in principle and the FPS was stable 60+.Passive cooling makes this laptop silent. Which is just perfect for audio recording. In addition, it will never get clogged with dust.It's also very convenient that it can be charged via Type-C cable. By the way, I use a third-party charger and there are no problems with this at all."
Apple MacBook AIR Apple M1,"I have tried for years to move to a mac given in use an iphone and ipad, however, the office apps in the past were somewhat quirky on a mac.  So finally, they pretty much work the same as on my windows PC with a few exceptions, but for the most part i cant tell a big difference.The mac hardware and OS is way superior to a windows laptop in this price range.  Im primarily a business user and the office suite is what im in daily so now that its very similar to the windows OS version, i dont see myself going back to windows."
Apple MacBook AIR Apple M1,"I’m a big Apple fan. I usually use Macbook Pros for work. I decided to get the Air for the days when I don’t need the Pro with me. I like the size and the weight, but there are little glitches here and there that are just very annoying to me. Photos can’t crop more than two pictures at the time without glitches. I do the same on the Pro, no problem. This is easy work and has nothing to do with how ‘powerful’ your computer is. I’m talking about cropping regular phone size pics for social media. No filters or animations or anything like this. It can’t do that.Sometimes when you try to write a post on social media, the space bar moves cursor up as an arrow, rather than a space, usually when you get to the second paragraph of your post. I haven’t noticed this in Pages, just social media. These are small things but when you’re in a hurry, they can be very annoying. The button to change languages is very temperamental, sometimes works, sometimes doesn’t. If you’re trying to write a social media post in two different languages, good luck. You have to select outside of the post pop-up in order to change your language every single time. And IDK, it might be just mine that is doing this, but it’s making me stay away from everything Air.As far as Amazon shipment, delivery and so on, no complains. Everything was as expected for this item."
Apple MacBook AIR Apple M1,"First of all, I'm not good with technically stuff... I had difficulty migrating at first especially getting all of my pdf documents over. I got a few Apple support folks to walk me through it. (It took 4 calls to get someone who knew how to change my settings in order to allow me to save documents on the MacBook). Also had to buy a USB-C adapter in order to use my USB hub.It was definitely worth it. Absolutely love it!"
Apple MacBook AIR Apple M1,"This MacBook Air was issued to me a couple of years ago at work. It performs all office and presentation tasks well, with good sound and video controls. It’s extremely light and portable. When I saw it available for the “older model” price I bought one for home use. It now ships with macOS Ventura 13.0."
Apple MacBook AIR Apple M1,"I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.Good:- SCREEN looks great!  2560x1600 resolution is bright and sharp and looks good with the thin black bezel.  I usually don't go above 50% brightness.- KEYBOARD is good.  Some have mentioned that it still sucks, but I find it much better than the older MBAs that I own and better than say, the Magic Keyboard.  Even with a thin silicone keyboard cover I find the typing experience to be much better and I can type faster and with fewer mistakes.- BATTERY LIFE is fantastic.  Haven't done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, HD vs 4k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on YouTube, accessing VPN for work (Citrix, EPIC), etc., it has been great.  Easily tops 10 hours and super impressed so far.- LOOKS GREAT.  Love the newer (I know that the actual exterior design is a few years old by now) design, looks and feels great.  Form factor is nice and it is a reasonable weight.- NO FAN.  That's awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap.  Pretty amazing really for a laptop to have no fans.- PERFORMANCE.  It works great so far on what I have used it for, which is not terribly a lot, but it is what it is for a laptop using Apple silicon for the first time.  For just day to day use and things like Chrome, Office (Word, Excel), Citirx, EPIC, etc., it has been super smooth and fast.  Have not tried gaming yet but do not have high hopes given it is the base model with 7-core GPU.  Also, things like start up are noticeably faster with the M1 versus my 2020 iMac 27"" (top end) with Intel chips.- TOUCH ID is great still.  Works very fast and the button does not get greasy (which makes it not work well) like the old iPhone home buttons.  On the other hand, it should really have Face ID at this point.- APPLE ECOSYSTEM is great as usual and a real reason to get this MBA.  Apple Watch easily unlocks it (so you do not really need Face ID if you have the watch).  You can easily send/receive files using AirDrop or cast using AirPlay.  And so on and so forth.- BIG SUR comes preinstalled but you need to update to get 11.0.1.NOT GOOD:- WEBCAM still sucks.  Still low resolution and just does not look good in FaceTime, Teams, etc.  Shame that Apple is so slow to upgrade webcams on the Macs (the 27"" iMac FINALLY upgraded to 1080p front cams only a couple months ago... I got one and it looks so much better than this MBA's camera).- ONLY 2 PORTS.  Sad that this thing has only 2 USB-C ports (that cover thunderbolt 3, USB 3.1, charging, DisplayPort).  Given that it is used to charge, it leaves only one USB-C port for other use, pretty lame.  I wish they had squeezed (I think it would fit) a USB-A port so that I could plug in my wireless mouse USB-A dongle as I have never liked any bluetooth mouse, or at least one more USB-C port.- NEW TECH (Apple silicon) means the M1-optimized apps are still being rolled out, e.g. Photoshop still not available at release.- BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery.  Easier to have an iPhone's battery replaced than a MBA I would imagine but hopefully it maintains a high level of performance for 4 years at the minimum.OVERALL:A few negatives (mostly the webcam) but enough significant improvements that this MBA is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the Apple ecosystem.  Love it so far!"
Apple MacBook AIR Apple M1,Use it with the Apple keypad folio and you basically have a lap top for less money.
Apple MacBook AIR Apple M1,Perfect for my daughter who is a student.
